,Published,ThumbnailUrl,ViewCount,VideoId
49,2022-02-22T05:22:00Z,https://i.ytimg.com/vi/jX0ZltFJefw/default.jpg,844504,jX0ZltFJefw
50,2022-02-22T13:22:00Z,https://i.ytimg.com/vi/uZbK7wn-yQk/default.jpg,475952,uZbK7wn-yQk
51,2022-02-23T08:00:30Z,https://i.ytimg.com/vi/wO4nMmXm0_0/default.jpg,415485,wO4nMmXm0_0
52,2022-02-23T10:00:14Z,https://i.ytimg.com/vi/JSrFqR0WdQk/default.jpg,431962,JSrFqR0WdQk
53,2022-02-24T10:00:02Z,https://i.ytimg.com/vi/757GTaXR0jQ/default.jpg,1129018,757GTaXR0jQ
54,2022-02-25T10:00:02Z,https://i.ytimg.com/vi/2WhITSLpkTU/default.jpg,812918,2WhITSLpkTU
55,2022-02-26T10:00:23Z,https://i.ytimg.com/vi/uz4Kc2EyXYM/default.jpg,466744,uz4Kc2EyXYM
56,2022-02-27T10:00:00Z,https://i.ytimg.com/vi/a6470TMHpFc/default.jpg,3509600,a6470TMHpFc
57,2022-02-28T10:00:11Z,https://i.ytimg.com/vi/Te7sCYDmFVI/default.jpg,602035,Te7sCYDmFVI
58,2022-03-01T10:00:23Z,https://i.ytimg.com/vi/xcSmfXq1WOQ/default.jpg,521005,xcSmfXq1WOQ
59,2022-03-02T10:00:02Z,https://i.ytimg.com/vi/31FwmCAEJww/default.jpg,2999994,31FwmCAEJww
60,2022-03-03T10:00:12Z,https://i.ytimg.com/vi/KUbjOWGh_Kw/default.jpg,828478,KUbjOWGh_Kw
61,2022-03-04T10:00:22Z,https://i.ytimg.com/vi/TQtFOD9q6Ik/default.jpg,610762,TQtFOD9q6Ik
62,2022-03-05T10:01:24Z,https://i.ytimg.com/vi/539UIFF3vDM/default.jpg,581442,539UIFF3vDM
63,2022-03-06T10:00:15Z,https://i.ytimg.com/vi/NwOF5okrRHc/default.jpg,578382,NwOF5okrRHc
64,2022-03-07T10:00:05Z,https://i.ytimg.com/vi/5_eOnNPzEII/default.jpg,411189,5_eOnNPzEII
65,2022-03-08T10:00:04Z,https://i.ytimg.com/vi/22mWmctLFOg/default.jpg,1078124,22mWmctLFOg
66,2022-03-09T10:00:31Z,https://i.ytimg.com/vi/k8PHIpIN1pE/default.jpg,313167,k8PHIpIN1pE
67,2022-03-10T10:00:18Z,https://i.ytimg.com/vi/NUH5halxYV0/default.jpg,672533,NUH5halxYV0
68,2022-03-11T10:00:12Z,https://i.ytimg.com/vi/R5f98wSPS1g/default.jpg,636284,R5f98wSPS1g
69,2022-03-12T10:00:08Z,https://i.ytimg.com/vi/FQQ3CD4gLCY/default.jpg,1299454,FQQ3CD4gLCY
70,2022-03-14T10:00:05Z,https://i.ytimg.com/vi/EX_MvyhKO9o/default.jpg,1611369,EX_MvyhKO9o
71,2022-03-15T10:00:05Z,https://i.ytimg.com/vi/DGR1Og-cjOs/default.jpg,1939388,DGR1Og-cjOs
72,2022-03-16T10:00:14Z,https://i.ytimg.com/vi/SKh-JfQhLrg/default.jpg,884642,SKh-JfQhLrg
73,2022-03-17T10:00:31Z,https://i.ytimg.com/vi/n9HYZdhsm3o/default.jpg,963352,n9HYZdhsm3o
74,2022-03-19T10:00:18Z,https://i.ytimg.com/vi/nTSMcCjFGM0/default.jpg,888447,nTSMcCjFGM0
75,2022-03-20T10:00:08Z,https://i.ytimg.com/vi/Aq2QjdtPgCQ/default.jpg,1075438,Aq2QjdtPgCQ
76,2022-03-21T10:00:03Z,https://i.ytimg.com/vi/8Zth5QrketM/default.jpg,1405313,8Zth5QrketM
77,2022-03-22T10:00:01Z,https://i.ytimg.com/vi/1Chiz7T6U-M/default.jpg,1810011,1Chiz7T6U-M
78,2022-03-23T10:00:25Z,https://i.ytimg.com/vi/mhFHe8y3_Q4/default.jpg,879307,mhFHe8y3_Q4
79,2022-03-24T10:00:33Z,https://i.ytimg.com/vi/vV8XLaSE8-s/default.jpg,2119980,vV8XLaSE8-s
80,2022-03-25T10:00:14Z,https://i.ytimg.com/vi/v0tFD94bRNo/default.jpg,843687,v0tFD94bRNo
81,2022-03-26T10:00:21Z,https://i.ytimg.com/vi/qyxXYY4NLdY/default.jpg,634578,qyxXYY4NLdY
82,2022-03-27T10:00:03Z,https://i.ytimg.com/vi/3EF4ZLDWPYk/default.jpg,1721743,3EF4ZLDWPYk
